非洲	Afrika
Omsk-chû	Oblast Omsk
Thai-mí-ngì-ngî	Tamil
Chet-ho̍k	Philosophie
分類:Candidates for speedy deletion	Kategorie:Wikipedia:Schnelllöschen
Altai Khiung-fò-koet	Republik Altai
Kòng-khìm	Klavier
Gorno-Altaysk	Gorno-Altaisk
Kemerovo-chû	Oblast Kemerowo
Hebe Camargo	Hebe Camargo
Chṳ̂-pún chú-ngi	Kapitalismus
Mìn-chhu̍k	Nation
Khanty-Mansi Chhṳ-chhṳ-khî	Autonomer Kreis der Chanten und Mansen/Jugra
Yamalo-Nenets Chhṳ-chhṳ-khî	Autonomer Kreis der Jamal-Nenzen
Montpellier	Montpellier
分類:Thiên-vùn-ho̍k	Kategorie:Astronomie
Khakassia Khiung-fò-koet	Chakassien
Irkutsk-chû	Oblast Irkutsk
Sakha Khiung-fò-koet	Sacha
Khiet-lò-âi-sî-â-ngî	Kroatische Sprache
Hon-pó	Hamburger
Buryatia Khiung-fò-koet	Burjatien
Vû-làn Vû-tet	Ulan-Ude
Amur-chû	Oblast Amur
Ngi-sṳ̍p Sṳ-ki	20. Jahrhundert
Gotha	Gotha
Dijon	Dijon
Kâ-thai-lò-nì-â-ngî	Katalanische Sprache
Nordhausen	Nordhausen
Kit-lò-na̍p-sén	Girona
Eisenach	Eisenach
Se-pâu Sâng-vu̍t-ho̍k	Zellbiologie
Sṳ-kie Ngiùn-hòng Si̍p-thòn	Weltbank
A-la-pak Liên-mên	Arabische Liga
Mìn-tsú Tsú-ngi	Demokratie
Chhîn-chhèu (秦朝)	Qin-Dynastie
Pet Thai-sî-yòng Kûng-yok Chû-chṳt	NATO
Chhìn Sṳ Fòng	Qin Shihuangdi
Hon-chhèu	Han-Dynastie
Hon Vú-ti Liù Chha̍t	Han Wudi
Sâng-vu̍t	Lebewesen
Kiûn-chú-chṳ	Monarchie
Khiung-fò-koet	Republik
Yí-mô-khiù	Badminton
Ngièn-chhèu	Yuan-Dynastie
